time Used Avail Use%
18:17:27 2.7G 8.5G 24%
18:17:37 2.7G 8.5G 24%
18:17:47 2.7G 8.5G 25%
18:17:57 2.8G 8.5G 25%
18:18:07 2.8G 8.5G 25%
18:18:17 2.8G 8.5G 25%
18:18:27 2.8G 8.5G 25%
18:18:37 2.8G 8.5G 25%
18:18:47 2.8G 8.5G 25%
18:18:57 2.8G 8.4G 25%
18:19:07 2.8G 8.5G 25%
18:19:17 2.8G 8.4G 26%
18:19:27 2.8G 8.4G 26%
18:19:37 2.8G 8.4G 26%
18:19:47 2.8G 8.4G 26%
18:19:57 2.8G 8.4G 26%
18:20:07 2.9G 8.4G 26%
18:20:17 2.9G 8.3G 26%
18:20:27 2.9G 8.3G 26%
18:20:37 3.0G 8.2G 27%
18:20:47 3.0G 8.2G 27%
18:20:57 3.1G 8.2G 28%
18:21:07 3.1G 8.2G 28%
18:21:17 3.1G 8.2G 27%
18:21:27 3.1G 8.2G 28%
18:21:37 3.1G 8.2G 28%
18:21:47 3.1G 8.1G 28%
18:21:57 3.2G 8.1G 28%
18:22:07 3.2G 8.0G 29%
18:22:17 3.2G 8.0G 29%
18:22:27 3.3G 8.0G 29%
18:22:37 3.3G 7.9G 30%
18:22:47 3.3G 7.9G 30%
18:22:57 3.4G 7.9G 30%
18:23:07 3.4G 7.9G 30%
18:23:17 3.4G 7.9G 30%
18:23:27 3.4G 7.9G 30%
18:23:38 3.4G 7.9G 30%
18:23:48 3.4G 7.9G 30%
18:23:58 3.3G 7.9G 30%
18:24:08 3.4G 7.9G 30%
18:24:18 3.4G 7.8G 31%
18:24:28 3.4G 7.8G 31%
18:24:38 3.5G 7.7G 31%
18:24:48 3.5G 7.7G 32%
18:24:58 3.6G 7.7G 32%
18:25:08 3.6G 7.6G 32%
18:25:18 3.6G 7.6G 33%
18:25:28 3.7G 7.5G 33%
18:25:38 3.7G 7.5G 34%
18:25:48 3.8G 7.5G 34%
18:25:58 3.8G 7.4G 34%
18:26:08 3.9G 7.4G 35%
18:26:18 3.9G 7.3G 35%
18:26:28 3.9G 7.3G 35%
18:26:38 4.0G 7.3G 36%
18:26:48 4.0G 7.2G 36%
18:26:58 4.1G 7.2G 36%
18:27:08 4.1G 7.1G 37%
18:27:18 4.1G 7.1G 37%
18:27:28 4.2G 7.1G 38%
18:27:38 4.2G 7.0G 38%
18:27:48 4.3G 7.0G 38%
18:27:58 4.3G 6.9G 39%
18:28:08 4.3G 6.9G 39%
18:28:18 4.4G 6.9G 39%
18:28:28 4.4G 6.8G 40%
18:28:38 4.5G 6.8G 40%
18:28:48 4.5G 6.7G 40%
18:28:58 4.5G 6.7G 41%
18:29:08 4.6G 6.7G 41%
18:29:18 4.6G 6.6G 42%
18:29:28 4.7G 6.6G 42%
18:29:38 4.7G 6.5G 42%
18:29:48 4.7G 6.5G 43%
18:29:58 4.8G 6.5G 43%
18:30:08 4.8G 6.4G 43%
18:30:18 4.9G 6.4G 44%
18:30:28 4.9G 6.3G 44%
18:30:38 4.9G 6.3G 44%
18:30:48 5.0G 6.3G 45%
18:30:58 5.0G 6.2G 45%
18:31:08 5.1G 6.2G 45%
18:31:18 5.1G 6.1G 46%
18:31:28 5.1G 6.1G 46%
18:31:38 5.2G 6.1G 47%
18:31:48 5.2G 6.0G 47%
18:31:58 5.3G 6.0G 47%
18:32:08 5.3G 5.9G 48%
18:32:18 5.3G 5.9G 48%
18:32:28 5.4G 5.9G 48%
18:32:38 5.4G 5.8G 49%
18:32:48 5.5G 5.8G 49%
18:32:58 5.5G 5.7G 49%
18:33:08 5.5G 5.7G 50%
18:33:18 5.6G 5.7G 50%
18:33:29 5.6G 5.6G 50%
18:33:39 5.6G 5.6G 51%
18:33:49 5.7G 5.5G 51%
18:33:59 5.7G 5.5G 52%
18:34:09 5.8G 5.5G 52%
18:34:19 5.8G 5.4G 52%
18:34:29 5.9G 5.4G 53%
18:34:39 5.9G 5.3G 53%
18:34:49 5.9G 5.3G 53%
18:34:59 6.0G 5.3G 54%
18:35:09 6.0G 5.2G 54%
18:35:19 6.1G 5.2G 54%
18:35:29 6.1G 5.1G 55%
18:35:39 6.1G 5.1G 55%
18:35:49 6.2G 5.1G 56%
18:35:59 6.2G 5.0G 56%
18:36:09 6.3G 4.9G 57%
18:36:19 6.3G 4.9G 57%
18:36:29 6.3G 4.9G 57%
18:36:39 6.4G 4.8G 58%
18:36:49 6.5G 4.8G 58%
18:36:59 6.6G 4.6G 59%
18:37:09 6.7G 4.5G 60%
18:37:19 6.7G 4.5G 60%
18:37:29 6.8G 4.5G 61%
18:37:39 6.8G 4.5G 61%
18:37:49 6.8G 4.5G 61%
18:37:59 6.9G 4.4G 62%
18:38:09 6.9G 4.3G 62%
18:38:19 7.1G 4.2G 64%
18:38:29 7.1G 4.1G 64%
18:38:39 7.2G 4.1G 65%
18:38:49 7.2G 4.0G 65%
18:38:59 7.3G 3.9G 65%
18:39:09 7.3G 3.9G 66%
18:39:19 7.4G 3.8G 66%
18:39:29 7.4G 3.8G 67%
18:39:39 7.4G 3.8G 67%
18:39:49 7.4G 3.8G 67%
18:39:59 7.5G 3.8G 67%
18:40:09 7.6G 3.6G 69%
18:40:19 7.9G 3.4G 71%
18:40:29 8.1G 3.2G 72%
18:40:41 8.3G 2.9G 75%
18:40:51 8.5G 2.8G 76%
18:41:01 8.6G 2.6G 77%
18:41:11 8.7G 2.5G 78%
18:41:21 8.9G 2.3G 80%
18:41:32 8.9G 2.3G 80%
18:41:42 9.0G 2.2G 81%
18:41:52 9.0G 2.2G 81%
18:42:03 9.1G 2.2G 82%
18:42:13 9.1G 2.1G 82%
18:42:23 9.2G 2.1G 82%
18:42:33 9.2G 2.1G 83%
18:42:43 9.3G 2.0G 83%
18:42:53 9.3G 2.0G 83%
18:43:03 9.3G 1.9G 84%
18:43:13 9.3G 1.9G 84%
18:43:23 9.6G 1.6G 86%
18:43:33 9.7G 1.5G 87%
18:43:43 9.7G 1.5G 87%
18:43:53 9.7G 1.5G 87%
18:44:03 9.7G 1.5G 87%
18:44:13 9.7G 1.5G 87%
18:44:23 9.7G 1.5G 87%
18:44:34 9.7G 1.5G 87%
18:44:44 9.7G 1.5G 87%
18:44:54 9.7G 1.5G 87%
18:45:04 9.7G 1.5G 87%
18:45:14 9.7G 1.5G 87%
18:45:24 9.7G 1.5G 87%
18:45:34 9.7G 1.5G 87%
18:45:44 9.7G 1.5G 87%
18:45:54 9.7G 1.5G 87%
18:46:04 9.7G 1.5G 87%
18:46:14 9.7G 1.5G 87%
18:46:24 9.8G 1.5G 88%
18:46:34 9.8G 1.5G 88%
18:46:44 9.8G 1.5G 88%
18:46:54 9.8G 1.5G 88%
18:47:04 9.8G 1.5G 88%
18:47:14 9.8G 1.5G 88%
18:47:24 9.8G 1.5G 88%
18:47:34 9.8G 1.5G 88%
18:47:44 9.8G 1.5G 88%
18:47:54 9.8G 1.4G 88%
18:48:04 9.8G 1.4G 88%
18:48:14 9.8G 1.4G 88%
18:48:24 9.8G 1.4G 88%
18:48:34 9.8G 1.4G 89%
18:48:44 9.9G 1.4G 89%
18:48:54 9.9G 1.4G 89%
18:49:04 9.9G 1.4G 89%
18:49:14 9.9G 1.4G 89%
18:49:24 9.9G 1.4G 89%
18:49:34 9.9G 1.4G 89%
18:49:44 9.9G 1.4G 89%
18:49:54 9.9G 1.4G 89%
18:50:04 9.9G 1.4G 89%
18:50:14 9.9G 1.4G 89%
18:50:24 9.9G 1.4G 89%
18:50:34 9.9G 1.4G 89%
18:50:44 9.9G 1.4G 89%
18:50:54 9.9G 1.4G 89%
18:51:04 9.9G 1.4G 89%
18:51:14 9.9G 1.4G 89%
18:51:24 9.9G 1.4G 89%
18:51:34 9.9G 1.4G 89%
18:51:45 9.9G 1.4G 89%
18:51:56 9.9G 1.4G 89%
18:52:06 9.9G 1.4G 89%
18:52:16 9.9G 1.4G 89%
18:52:26 9.9G 1.4G 89%
18:52:36 9.9G 1.4G 89%
18:52:46 9.9G 1.4G 89%
18:52:56 9.9G 1.4G 89%
18:53:06 9.9G 1.3G 89%
18:53:16 9.9G 1.3G 89%
18:53:26 9.9G 1.3G 89%
18:53:36 9.9G 1.3G 89%
18:53:46 9.9G 1.3G 89%
18:53:56 9.9G 1.3G 89%
18:54:06 9.9G 1.3G 89%
18:54:16 9.9G 1.3G 89%
18:54:26 9.9G 1.3G 89%
18:54:36 10G 1.3G 90%
18:54:46 10G 1.2G 90%
18:54:56 11G 1.2G 90%
18:55:06 11G 1.1G 91%
18:55:16 11G 1021M 92%
18:55:27 11G 931M 92%
18:55:37 7.2G 4.0G 65%
18:55:47 7.2G 4.0G 65%
18:55:57 7.4G 3.8G 67%
18:56:07 7.5G 3.7G 68%
18:56:17 7.7G 3.5G 69%
18:56:27 7.8G 3.4G 70%
18:56:37 7.9G 3.3G 71%
18:56:47 8.0G 3.3G 72%
18:56:57 8.1G 3.2G 72%
18:57:07 8.2G 3.0G 74%
18:57:18 8.3G 2.9G 75%
18:57:28 8.4G 2.9G 75%
18:57:38 8.5G 2.8G 76%
18:57:48 8.5G 2.7G 76%
18:57:58 8.6G 2.7G 77%
18:58:08 8.7G 2.5G 78%
18:58:18 8.8G 2.5G 79%
18:58:28 9.0G 2.3G 81%
18:58:38 9.0G 2.2G 81%
18:58:48 9.1G 2.2G 81%
18:58:58 9.2G 2.1G 82%
18:59:08 9.2G 2.0G 83%
18:59:18 9.3G 1.9G 84%
18:59:28 9.4G 1.8G 84%
18:59:38 9.5G 1.7G 85%
18:59:48 9.5G 1.7G 85%
18:59:58 9.6G 1.7G 86%
19:00:08 9.7G 1.5G 87%
19:00:19 9.8G 1.4G 88%
19:00:29 9.9G 1.3G 89%
19:00:39 10G 1.2G 90%
19:00:49 11G 1.2G 90%
19:00:59 11G 1.1G 91%
19:01:09 11G 956M 92%
19:01:19 11G 771M 94%
19:01:29 11G 686M 94%
19:01:39 11G 576M 95%
19:01:49 11G 521M 96%
19:01:59 11G 446M 97%
19:02:09 11G 405M 97%
19:02:19 11G 372M 97%
19:02:29 11G 338M 98%
19:02:39 11G 272M 98%
19:02:49 11G 225M 99%
19:02:59 11G 165M 99%
19:03:09 11G 154M 99%
19:03:19 12G 37M 100%
19:03:30 12G 0 100%
19:03:41 12G 0 100%
19:03:51 12G 0 100%
19:04:01 12G 0 100%
19:04:11 12G 0 100%
19:04:21 12G 0 100%
19:04:31 12G 0 100%
19:04:41 12G 0 100%
19:04:51 12G 0 100%
19:05:01 11G 739M 94%
19:05:11 8.4G 2.9G 75%
19:05:21 8.3G 2.9G 75%
19:05:31 8.3G 2.9G 75%
19:05:41 7.2G 4.0G 65%
19:05:51 7.3G 4.0G 65%
19:06:01 7.3G 3.9G 66%
19:06:11 7.4G 3.9G 66%
19:06:21 7.4G 3.8G 67%
19:06:31 7.5G 3.8G 67%
19:06:41 7.5G 3.7G 67%
19:06:51 7.5G 3.7G 67%
19:07:01 7.5G 3.7G 67%
19:07:11 7.4G 3.8G 67%
19:07:21 7.4G 3.8G 67%
19:07:31 7.4G 3.8G 67%
19:07:41 7.5G 3.8G 67%
19:07:51 7.5G 3.7G 67%
19:08:01 7.5G 3.7G 67%
19:08:11 7.5G 3.7G 67%
19:08:21 7.5G 3.7G 68%
19:08:31 7.5G 3.7G 68%
19:08:41 7.5G 3.7G 68%
